"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","330","Employee List Response - Validates against OpenAPI schema","webkit","Fri Jan 09 11:35:32 UTC 2026","failed","Fri Jan 09 11:35:32 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","329","Authorization - Unauthenticated access is denied","chromium","Fri Jan 09 11:27:54 UTC 2026","failed","Fri Jan 09 11:27:54 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","328","User Registration - Employee can register with valid credentials","firefox","Fri Jan 09 11:30:28 UTC 2026","failed","Fri Jan 09 11:30:28 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","326","OpenAPI Spec - Specification is retrievable and valid","chromium","Fri Jan 09 11:28:21 UTC 2026","failed","Fri Jan 09 11:28:22 UTC 2026","Feature: OpenAPI Documentation","employee-crm-api/openapi-validation.spec.ts","",""
"","330","User Login - Invalid credentials are rejected","chromium","Fri Jan 09 11:27:21 UTC 2026","failed","Fri Jan 09 11:27:21 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","331","Login Response - Validates against OpenAPI schema","chromium","Fri Jan 09 11:28:35 UTC 2026","failed","Fri Jan 09 11:28:35 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","330","Admin Registration - Admin can register with secret word","chromium","Fri Jan 09 11:27:27 UTC 2026","failed","Fri Jan 09 11:27:28 UTC 2026","Feature: Authentication","employee-crm-api/auth-and-employees.spec.ts","",""
"","337","DataFactory - Bulk create employees with generated data","firefox","Fri Jan 09 11:31:28 UTC 2026","failed","Fri Jan 09 11:31:28 UTC 2026","Feature: Data Generation","employee-crm-api/auth-and-employees.spec.ts","",""
"","331","Registration Response - Validates against OpenAPI schema","chromium","Fri Jan 09 11:28:28 UTC 2026","failed","Fri Jan 09 11:28:28 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","333","Login Response - Validates against OpenAPI schema","firefox","Fri Jan 09 11:31:59 UTC 2026","failed","Fri Jan 09 11:32:00 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","327","OpenAPI Spec - Specification is retrievable and valid","webkit","Fri Jan 09 11:35:12 UTC 2026","failed","Fri Jan 09 11:35:12 UTC 2026","Feature: OpenAPI Documentation","employee-crm-api/openapi-validation.spec.ts","",""
"","333","Error Response - Validates against OpenAPI schema","firefox","Fri Jan 09 11:32:13 UTC 2026","failed","Fri Jan 09 11:32:13 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","332","Authorization - Unauthenticated access is denied","webkit","Fri Jan 09 11:34:41 UTC 2026","failed","Fri Jan 09 11:34:42 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","333","Update Employee - Admin can update employee information","chromium","Fri Jan 09 11:27:47 UTC 2026","failed","Fri Jan 09 11:27:47 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
"","334","Employee List Response - Validates against OpenAPI schema","firefox","Fri Jan 09 11:32:06 UTC 2026","failed","Fri Jan 09 11:32:06 UTC 2026","Feature: OpenAPI Schema Validation","employee-crm-api/openapi-validation.spec.ts","",""
"","329","Get Employee - Authenticated user can retrieve employee by ID","firefox","Fri Jan 09 11:31:01 UTC 2026","failed","Fri Jan 09 11:31:01 UTC 2026","Feature: Employee Management","employee-crm-api/auth-and-employees.spec.ts","",""
